name,url,price_rate,price_rate_type,total_price,room_and_property_type,location_title,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity,summary,amenities,review_count,review_score,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,star_rating,satisfaction_guest,description,neighborhood_overview,notes,additional_house_rules,interaction,access,transit,response_rate,response_time,instant_book_possible
near Finskiy Zaliv,https://www.airbnb.com/rooms/35743337,4857.0,monthly,25636.0,Entire apartment,"Sipoo, Finland",1,,60.3267,25.36249,0.51,0.0,entire_home,4,"The apartment features 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a fridge and an oven, a washing machine, and 3 bathrooms with a bath.","Wifi,Kitchen,Shampoo,TV,Washer,Hangers,Carbon monoxide alarm,Smoke alarm",0,,,,,,,,,,"The apartment features 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a fridge and an oven, a washing machine, and 3 bathrooms with a bath.

Located in Saint Petersburg, 16 km from Mariinsky Theatre, Apartment near Finskiy Zaliv provides accommodation with a shared lounge, free WiFi and a shared kitchen. With lake views, this accommodation features a balcony.

The apartment features 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a fridge and an oven, a washing machine, and 3 bathrooms with a bath.",,,,,,"The apartment features 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a fridge and an oven, a washing machine, and 3 bathrooms with a bath.",,,
Cannot rent now,https://www.airbnb.com/rooms/11747598,12437.0,monthly,65648.0,Entire cabin,"Vantaa, Finland",2,,60.28481,24.77967,0.6,0.71,entire_home,4,Cannot rent now. Fixing plazes.,"Free parking on premises,Kitchen,Air conditioning,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Private entrance,Fire extinguisher,Carbon monoxide alarm,Smoke alarm",1,80,8,8,8,8,10,6,,80,Cannot rent now. Fixing plazes.,,,,,,,,,
Country Paradise by the Lake !,https://www.airbnb.com/rooms/1662953,16851.0,monthly,88946.0,Entire villa,"Kirkkonummi, Finland",3,,60.18856,24.35762,0.0,0.95,entire_home,12,"LÖVKULLA-a pictoresque Villa built in 1950 situated in Evitskog-village by the Bakträsk-lake, 40 minutes drive from the capital, Helsinki. Lövkulla accomodates eight people + 4 extra guests in log cabins in the summer months. A true romantic hideaway with open fires and a tenniscourt.","Free parking on premises,Wifi,Kitchen,Indoor fireplace,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Laptop-friendly workspace,Fire extinguisher,Smoke alarm,First aid kit",40,98,10,10,10,10,10,9,5.0,98,"LÖVKULLA-a pictoresque Villa built in 1950 situated in Evitskog-village by the Bakträsk-lake, 40 minutes drive from the capital, Helsinki. Lövkulla accomodates eight people + 4 extra guests in log cabins in the summer months. A true romantic hideaway with open fires and a tenniscourt.

Lövkulla is a unique villa right in the middle of nowhere by a lake, just a 40 minutes drive from the capital. Lövkulla has an area of 1,5 hectares so plenty of peace and quiteness on offer!

Tennis-court, a log sauna by the lake and a beachfront location offers for a relaxing escape from the busy world.

Lövkulla has four bedrooms, diningroom with an open fireplace, tv-lounge, kitchen, electric sauna and shower-room. Two toilets with washing-machine and a drier are also in your disposal. There is also an outside fireplace by the patio. By the shore there is an old-fashioned logsauna within few steps to the lake. A children's playhouse and a guest log cottage are also to be found which can be used for extra accomodation during the warmer summer months. In the warm summer months the log-quest-house accommodates two adults in the foldable couch and two children in the mattresses on the floor. On top of that, the log sauna by the lake has a room which also has a bed for two persons. Sauna by the lake can be used only in the warmer months but the electric sauna in the main building can be used all year around.

Horse stables are just a 5 minutes drive away and if you should be interested in horse riding, we can organize that for you if you let us know in good time before your arrival.

Kurk-golf course with one 9-hole and one 18-hole courses are located on the opposite shore of the Bakträsk-lake and can be reached in 10 minutes with a car.

There is a rowingboat with 4 hp engine for your convenience and canooing is also a favorite past-time in the beautiful Bakträsk-lake. 

There is a spa located in Siuntio which can be reached in 10 minutes. The nearest shop lies within 10 minutes drive.

If you should require a car for your transport, we can also arrange that for you for the period of your stay in Lövkulla. There is also an on-line surveillance security system. You can also enquire for a longer time lease.

In the summer months the rowing boat can also be used and also the tennis-court.

We will be happy to help you with your travel arrangements and also to show you around the area upon your arrival. You can reach us 24/7 during your stay if you are in need of any assistance.",,,We expect you to leave the house in the same conduction as it was upon you arrival.,We will be happy to help you with your travel arrangements and also to show you around the area upon your arrival. You can reach us 24/7 during your stay if you are in need of any assistance.,In the summer months the rowing boat can also be used and also the tennis-court.,,,,
Charming Luxury inTöölö,https://www.airbnb.com/rooms/26192768,5534.0,monthly,29027.0,Entire apartment,"Helsinki, Finland",1,,60.17501,24.92575,0.0,0.0,entire_home,2,,"Elevator,Wifi,Kitchen,Breakfast,Iron,Shampoo,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Host greets you,Fire extinguisher,Smoke alarm",3,100,10,10,10,10,10,10,5.0,100,,,,Silence in the building at 10.30 pm,,,,,,
Four-room luxurious apartment,https://www.airbnb.com/rooms/3408441,5130.0,monthly,26911.0,Entire apartment,"Helsinki, Finland",3,,60.1781,24.92442,0.58,0.84,entire_home,6,"Luxurious four-room apartment with an open view to Töölöntori (Töölö market place). 5th floor, elevator. 4 rooms + kitchen, bathroom and wc. Wireless internet. 6 sleeping places. Breakfast downstairs in Café Tin Tin Tango for extra charge.","Elevator,Wifi,Kitchen,TV,Washer,Heating,Essentials",22,82,9,8,8,8,9,8,4.0,82,"Luxurious four-room apartment with an open view to Töölöntori (Töölö market place). 5th floor, elevator. 4 rooms + kitchen, bathroom and wc. Wireless internet. 6 sleeping places. Breakfast downstairs in Café Tin Tin Tango for extra charge.",,,,,,,,,
Practical and modern home with perfect location,https://www.airbnb.com/rooms/14278261,2113.0,monthly,11081.0,Entire apartment,"Helsinki, Finland",1,,60.15955,24.93223,0.51,0.79,entire_home,4,"Newly renovated bright and cozy 48m² one bedroom apartment in the heart of Punavuori, Helsinki. Well equipped kitchen, new spacious bathroom, TV, and fast WiFi. Facilities to accommodate up to four people with one large double bed and two outfolding spare beds.

The building has it’s own free gym and sauna/swimming pool.

Walking distance everywhere in the center and good connections to the railwaystation and the airport. You can find lots of great restaurants, cafes and shops nearby.","Essentials,Heating,TV,Washer,Wifi,Elevator,Gym,Pool,Kitchen,Hangers,Smoke alarm,First aid kit",3,93,10,10,8,10,9,9,4.5,93,"Newly renovated bright and cozy 48m² one bedroom apartment in the heart of Punavuori, Helsinki. Well equipped kitchen, new spacious bathroom, TV, and fast WiFi. Facilities to accommodate up to four people with one large double bed and two outfolding spare beds.

The building has it’s own free gym and sauna/swimming pool.

Walking distance everywhere in the center and good connections to the railwaystation and the airport. You can find lots of great restaurants, cafes and shops nearby.",,,- Smoking allowed only on the balcony,,,,,,
Simple and clean apartment with sauna near airport,https://www.airbnb.com/rooms/32738750,3084.0,monthly,16177.0,Entire apartment,"Vantaa, Finland",3,,60.28781,24.94713,0.85,0.0,entire_home,3,"You are welcome to have a plesant stay at my place. This place is close to the airport and a few minutes walk to Jumo hypermarket. The place has Sauna and free parking. Free airport pickup if you are staying for more than 3 days. 
You are welcome.","Free parking on premises,Wifi,Kitchen,Breakfast,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Smoke alarm",1,100,10,10,8,10,10,10,,100,"You are welcome to have a plesant stay at my place. This place is close to the airport and a few minutes walk to Jumo hypermarket. The place has Sauna and free parking. Free airport pickup if you are staying for more than 3 days. 
You are welcome.

There is Sauna in the apartment. Free parking.

I am available from 10am to 11pm

Close Jumo hypermarket

I am available to pick you from the airport free of charge if you are staying more 3 days",Close Jumo hypermarket,,,I am available from 10am to 11pm,,I am available to pick you from the airport free of charge if you are staying more 3 days,,,
Apartment Marina Home,https://www.airbnb.com/rooms/23517938,2658.0,monthly,13942.0,Entire house,"Espoo, Finland",2,,60.14265,24.64105,0.7,0.8,entire_home,5,"Paritalo merenrannalla rauhallisella ja arvostetulla alueella. Matka Helsingin keskustaan autolla 20 minuuttia.
Talon kokonaistila on 91m2 kahdessa kerroksessa. Alakerassa 2-makuuhuonetta, sauna, wc, pukuhuone, terassi., piha. Yläkerrassa olohuone, makuuhuone parivuoteella, keittiö, wc, parveke. Huoneistossa on kaksi tv:tä ja wlan.","Free parking on premises,Wifi,Kitchen,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,High chair,Host greets you,Private entrance,Fire extinguisher,Smoke alarm,First aid kit",5,88,9,9,9,9,10,10,4.5,88,"Paritalo merenrannalla rauhallisella ja arvostetulla alueella. Matka Helsingin keskustaan autolla 20 minuuttia.
Talon kokonaistila on 91m2 kahdessa kerroksessa. Alakerassa 2-makuuhuonetta, sauna, wc, pukuhuone, terassi., piha. Yläkerrassa olohuone, makuuhuone parivuoteella, keittiö, wc, parveke. Huoneistossa on kaksi tv:tä ja wlan.

Rauhallinen merenrantapaikka venekerhon vieressä arvostetulla alueella.

Talo sijaitsee venekerhon tuntumassa todella rauhallisella alueella. Kerhorakennuksesta voi varata tilat jopa 100 hengen tapahtumalle. Kerhotilassa on varusteet myös ruokailun järjestämiselle.
Rannassa on myös tenniskenttä. Uimarannalle on matkaa 300 metriä.

Ilmainen autopaikka pihassa, Bussipysäkki 300m.
Espoonlahden rantaraitti (kaunis kävelyreitti) 100 m päässä.","Talo sijaitsee venekerhon tuntumassa todella rauhallisella alueella. Kerhorakennuksesta voi varata tilat jopa 100 hengen tapahtumalle. Kerhotilassa on varusteet myös ruokailun järjestämiselle.
Rannassa on myös tenniskenttä. Uimarannalle on matkaa 300 metriä.",,"- hiljaisuus klo 22, ei kenkiä sisätiloihin",,,"Ilmainen autopaikka pihassa, Bussipysäkki 300m.
Espoonlahden rantaraitti (kaunis kävelyreitti) 100 m päässä.",,,
Stylish and cozy in the center with free parking,https://www.airbnb.com/rooms/1413969,5489.0,monthly,28791.0,Entire apartment,"Helsinki, Uusimaa, Finland",1,,60.159,24.935,0.85,0.95,entire_home,3,"Modern and stylishly decorated two room apartment in the heart of the design district of Helsinki. It is a beautiful and cozy place that has all modern equipment, heated bathroom floor and own private in-yard parking. It is located on a quiet street with many restaurants, cafes and shops nearby and supermarket just across the street. Nice seaside promenade  is only 5 min walk. The apartment is 10-15  minute walk from the city centre and tram stops are just a few minutes from the apartment.","Free parking on premises,Wifi,Kitchen,Cable TV,Dryer,Hair dryer,Iron,Shampoo,TV,Washer,Hangers,Heating,Essentials,Laptop-friendly workspace,Hot water,Babysitter recommendations,Children’s books and toys,Single level home,Coffee maker,Cooking basics,Dishes and silverware,Dishwasher,Microwave,Refrigerator,Oven,Stove,Host greets you,Luggage dropoff allowed,Long term stays allowed,BBQ grill,Garden or backyard,Carbon monoxide alarm,Smoke alarm",135,97,10,10,9,10,10,9,5.0,97,"Modern and stylishly decorated two room apartment in the heart of the design district of Helsinki. It is a beautiful and cozy place that has all modern equipment, heated bathroom floor and own private in-yard parking. It is located on a quiet street with many restaurants, cafes and shops nearby and supermarket just across the street. Nice seaside promenade  is only 5 min walk. The apartment is 10-15  minute walk from the city centre and tram stops are just a few minutes from the apartment.

Apartment features a fully equipped kitchen with a coffee and espresso machine, ceramic stove, dish washer, spacious fridge and spot lights for a nice ambience. Kitchen is connected to a living room by a bar level which is perfect for the having a meal or just a drink. Living room has  a 42"" TV (HDMI cable available) which is connected to apple TV so you guests can watch own favourite movies and shows. There is also a big and comfortable couch and a chest of draws. The bedroom has a queen bed and nice 2-layer curtains for a cozy ambience. Bathroom has a shower, combined washer/dryer and heated floor.

High speed wifi is available in the whole apartment. 

The apartment's location is perfect for holiday or business traveler as it has grocery store just across the street, one of the oldest italian restaurant just on the corner of the building and many other restaurants and cafes just a few hundred meters away. It is just 5 minute walk from the seaside where locals love  having a picnic or a nice promenade. The seaside is great for an energising run or outdoor exercise session.

Whole apartment.

We are living nearby and can help with anything you need. We will be always happy to provide with extensive things-to-do recommendations. Also, we can arrange private gourmet dinners and dining out ideas.

Great and old neighbourhood in central Helsinki. Very close to the seaside and several of the best parks in town. All major attractions and restaurants/shopping in central Helsinki within a close walking distance.

Immediate access to tram and 10 minute walk from Metro station Kamppi. The Western Port (Tallinn and St Petersburg ferries) 15 minute walk.

We can organise an airport pick up and getting around town.",Great and old neighbourhood in central Helsinki. Very close to the seaside and several of the best parks in town. All major attractions and restaurants/shopping in central Helsinki within a close walking distance.,We can organise an airport pick up and getting around town.,"- Check-in time should be agreed the day before the arrival.  Check-in after 8 pm is at extra charge 30€ cash. 
- If the time of the check-in is not communicated to the host the day before the arrival,  late check-in (after 8 pm) is not guaranteed.
- No smoking indoors. 
- No loud music, parties or general behaviour that could be disturbing to our neighbours. No outside guests allowed.","We are living nearby and can help with anything you need. We will be always happy to provide with extensive things-to-do recommendations. Also, we can arrange private gourmet dinners and dining out ideas.",Whole apartment.,Immediate access to tram and 10 minute walk from Metro station Kamppi. The Western Port (Tallinn and St Petersburg ferries) 15 minute walk.,,,
Two-room Apartment Helsinki,https://www.airbnb.com/rooms/33886477,3141.0,monthly,16477.0,Entire apartment,"Helsinki, Finland",3,,60.1783,24.92371,0.65,0.9,entire_home,2,"Seven high-class one-bedroom apartments in the vicinity of Töölöntori, downtown Helsinki. All apartments are fully equipped and furnished with modern furniture. 

More information, please visit our website:

HelsinkiApartment Maija Sankamo","Elevator,Wifi,Kitchen,TV,Washer,Heating,Essentials",2,100,10,10,10,10,10,10,,100,"Seven high-class one-bedroom apartments in the vicinity of Töölöntori, downtown Helsinki. All apartments are fully equipped and furnished with modern furniture. 

More information, please visit our website:

HelsinkiApartment Maija Sankamo

One bedroom with two single beds. Can sleep two extra guests on sofa and foldable bed. Extra linens+towels are 12€/set

Very good public transportation. Trams 2, 4, 7, 8 and 10 have stops within 2 blocks of the apartments.",,,Guests must leave the apartment clean and trash must be taken out to the building courtyard. No smoking and no pets allowed.,,,"Very good public transportation. Trams 2, 4, 7, 8 and 10 have stops within 2 blocks of the apartments.",,,
Beautiful apartment near Puotila metro station,https://www.airbnb.com/rooms/42699093,2420.0,monthly,12693.0,Entire condominium,"Helsinki, Finland",1,,60.21168,25.09718,0.0,0.0,entire_home,3,"The apartment can be found in Puotila 850m from Puotila Metro station with bus connection to Itäkeskus.
The nearest food store is 500m by foot and a large supermarket is 600m from the apartment.
The condo has free wifi with both wireless and cable connection.
The kitchen has a gas stove, electric oven, fridge, dishwasher and a complete set of tableware.
Puotila is a quiet and cozy neighbourhood with many lovely places for walks and a short walk to the sea.","Free parking on premises,Wifi,Kitchen,Cable TV,Dryer,Shampoo,TV,Washer,Hangers,Heating,Essentials,Hot water,Free street parking,Cooking basics,Dishes and silverware,Dishwasher,Refrigerator,Oven,Stove,Baking sheet,Bed linens,Extra pillows and blankets",0,,,,,,,,,,"The apartment can be found in Puotila 850m from Puotila Metro station with bus connection to Itäkeskus.
The nearest food store is 500m by foot and a large supermarket is 600m from the apartment.
The condo has free wifi with both wireless and cable connection.
The kitchen has a gas stove, electric oven, fridge, dishwasher and a complete set of tableware.
Puotila is a quiet and cozy neighbourhood with many lovely places for walks and a short walk to the sea.

The full apartment is at your disposal.

You will also have access to the laundry room in the basement.

I can be reached by email and whatsapp 24/7.

The neighbourhood is a calm, family friendly area.

Puotila Metro station is the best way to get to the center of Helsinki.
A large variety of bus routes leave from Itäkeskus where you can get easily either by bus or metro.","The neighbourhood is a calm, family friendly area.",,,I can be reached by email and whatsapp 24/7.,You will also have access to the laundry room in the basement.,"Puotila Metro station is the best way to get to the center of Helsinki.
A large variety of bus routes leave from Itäkeskus where you can get easily either by bus or metro.",,,
